               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.1496,              1.2019,              1.7491,              0.6506,             0.64545,             0.62822,             0.26879,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              2.0987,              1.1984,              1.6763,             0.69501,             0.62742,             0.65292,             0.28754,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              2.1042,               1.207,              1.7332,             0.66332,             0.67263,             0.65829,             0.28022,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              2.1435,               1.207,              1.7055,             0.76165,               0.655,             0.68185,             0.30493,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              2.0821,              1.1641,              1.7103,             0.76102,             0.67798,             0.69636,             0.30687,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              2.0516,               1.133,              1.6865,             0.75387,             0.65809,             0.67885,             0.29907,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,                2.06,              1.1511,              1.6716,              0.7425,             0.66694,             0.68612,              0.3012,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              2.0968,              1.1596,              1.6676,             0.74893,             0.65394,             0.68528,             0.30333,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.9994,               1.101,              1.6268,             0.75311,             0.65356,             0.67031,             0.29577,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              2.0725,              1.1211,              1.6388,             0.75299,             0.66182,             0.66781,             0.29619,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
